lat,lon,name
51.27648, 06.70598, Station #17
51.27369, 06.70480, Station #18
51.27123, 06.70489, Station #19
51.26726, 06.70757, Station #20
51.26387, 06.71174, Station #21
51.26146, 06.71688, Station #22
51.25988, 06.72197, Station #23
51.25804, 06.72913, Station #24
51.25632, 06.73558, Station #25
51.25499, 06.74127, Station #26
51.25329, 06.74746, Station #27
51.25170, 06.75325, Station #28
51.24811, 06.75954, Station #29
51.24472, 06.76430, Station #30
51.24133, 06.76731, Station #31
51.23755, 06.76962, Station #32
51.23399, 06.77066, Station #33
51.344433, 06.685255, DEPOT